,Generosity
0,0.3651
1,0.31268
2,0.14272
3,0.1684
4,0.07822
5,0.07044
6,0.12344
7,0.12071
8,0.11451
9,0.10989
10,0.07855
11,0.07793
12,0.43562
13,0.47407
14,0.33088
15,0.32865
16,0.07799
17,0.0564
18,0.17362
19,0.17147
20,0.21222
21,0.19132
22,0.11046
23,0.13942
24,0.2225
25,0.2424
26,0.1826
27,0.2018
28,0.47998
29,0.48546
30,0.20536
31,0.21698
32,0.24808
33,0.29889
34,0.10461
35,0.12425
36,0.14574
37,0.15776
38,0.11921
39,0.12793
40,0.21747
41,0.24353
42,0.19727
43,0.2029
44,0.40359
45,0.40339
46,0.20618
47,0.2268
48,0.45811
49,0.44834
50,0.18386
51,0.18667
52,0.33363
53,0.31595
54,0.08185
55,0.04959
56,0.18401
57,0.15626
58,0.25497
59,0.22553
60,0.05444
61,0.18434
62,0.30638
63,0.27906
64,0.10686
65,0.09929
66,0.34139
67,0.36171
68,0.21684
69,0.21286
70,0.11541
71,0.10074
72,0.10692
73,0.08877
74,0.0868
75,0.08423
76,0.24325
77,0.29522
78,0.23351
79,0.25492
80,0.12332
81,0.1216
82,0.06822
83,0.06244
84,0.05547
85,0.06786
86,0.28214
87,0.30452
88,0.23087
89,0.21203
90,0.0
91,0.0
92,0.27489
93,0.28808
94,0.28657
95,0.29914
96,0.46187
97,0.47958
98,0.23027
99,0.2044
100,0.128
101,0.099
102,0.4363
103,0.47678
104,0.26475
105,0.25028
106,0.51535
107,0.56521
108,0.17922
109,0.19589
110,0.45901
111,0.44963
112,0.33172
113,0.32288
114,0.22823
115,0.16684
116,0.2123
117,0.22245
118,0.10705
119,0.10224
120,0.11053
121,0.14262
122,0.11827
123,0.15011
124,0.37542
125,0.41328
126,0.2831
127,0.27992
128,0.16228
129,0.15965
130,0.18226
131,0.17445
132,0.21854
133,0.23693
134,0.24362
135,0.24063
136,0.18295
137,0.17087
138,0.02641
139,0.02025
140,0.28034
141,0.27571
142,0.21333
143,0.2204
144,0.33128
145,0.30968
146,0.33075
147,0.41474
148,0.18798
149,0.21064
150,0.51752
151,0.56237
152,0.219
153,0.22686
154,0.37744
155,0.36951
156,0.14074
157,0.11735
158,0.20951
159,0.19997
160,0.3323
161,0.34539
162,0.1614
163,0.17191
164,0.07172
165,0.04053
166,0.79588
167,0.81971
168,0.32296
169,0.3816
170,0.4761
171,0.47416
172,0.47501
173,0.49401
174,0.27815
175,0.29773
176,0.19387
177,0.2097
178,0.27233
179,0.23219
180,0.34699
181,0.37895
182,0.33671
183,0.31185
184,0.24434
185,0.2418
186,0.3424
187,0.25296
188,0.14982
189,0.14527
190,0.24991
191,0.21674
192,0.16759
193,0.14443
194,0.13719
195,0.11691
196,0.32573
197,0.32388
198,0.13748
199,0.12889
200,0.22628
201,0.23552
202,0.13706
203,0.15457
204,0.20843
205,0.19103
206,0.19231
207,0.20737
208,0.21488
209,0.23897
210,0.31105
211,0.32706
212,0.25328
213,0.25738
214,0.11973
215,0.13656
216,0.18227
217,0.17665
218,0.40828
219,0.46978
220,0.19062
221,0.18077
222,0.36262
223,0.38254
224,0.29678
225,0.28083
226,0.22974
227,0.25998
228,0.34377
229,0.31472
230,0.5763
231,0.58696
232,0.16681
233,0.17517
234,0.31844
235,0.31935
236,0.06431
237,0.03936
238,0.12253
239,0.04707
240,0.16979
241,0.22567
242,0.29066
243,0.27102
244,0.15275
245,0.20363
246,0.26428
247,0.26591
248,0.51912
249,0.50156
250,0.40105
251,0.41077
252,0.2324
253,0.18056
254,0.22837
255,0.34326
256,0.1686
257,0.25075
258,0.19591
259,0.17866
260,0.18987
261,0.18503
